# DSN (distance to the water's negative site) values for the first hydration
# shell, below 2 angstroms from the atomic surface. Each block begins with the
# charge, and includes row and column labels for sigma and epsilon, respectively.
# Epsilon values are given in kJ/mol, and distances in angstroms.

# Axis lengths: number of epsilon, sigma, and charge values represented
5,5,13

-2,0.13075,0.2615,0.523,1.046,2.092
2.2,1.8616,1.91528,1.97535,2.04456,2.21895
3,2.38437,2.43429,2.49456,2.54161,2.61314
3.8,2.73799,2.80717,2.88195,2.97528,3.06661
4.6,3.16278,3.2329,3.31936,3.41045,3.50324
5.4,3.61968,3.69453,3.77662,3.86418,3.9563

-1,0.13075,0.2615,0.523,1.046,2.092
2.2,2.07952,2.1364,2.19432,2.25804,2.32603
3,2.47162,2.55798,2.64347,2.7326,2.81508
3.8,2.97719,3.05563,3.13218,3.21179,3.29199
4.6,3.4718,3.53915,3.61295,3.68873,3.75935
5.4,3.94388,4.00697,4.0756,4.14382,4.21182

-0.8,0.13075,0.2615,0.523,1.046,2.092
2.2,2.10014,2.18208,2.25376,2.33061,2.40512
3,2.56412,2.64255,2.72394,2.80363,2.88327
3.8,3.07269,3.14569,3.22294,3.29597,3.36914
4.6,3.56722,3.63279,3.69994,3.76707,3.83087
5.4,4.02983,4.08971,4.15108,4.2126,4.27195

-0.6,0.13075,0.2615,0.523,1.046,2.092
2.2,2.14938,2.23147,2.31765,2.40443,2.48262
3,2.69171,2.76839,2.84482,2.91731,2.98779
3.8,3.2099,3.27767,3.34294,3.40312,3.46594
4.6,3.68441,3.7428,3.7995,3.85465,3.90816
5.4,4.1249,4.17538,4.23112,4.28103,4.33115

-0.4,0.13075,0.2615,0.523,1.046,2.092
2.2,2.34012,2.41435,2.48743,2.55956,2.62828
3,2.88804,2.94835,3.0077,3.06289,3.11559
3.8,3.36336,3.416,3.46408,3.51116,3.55525
4.6,3.79503,3.84179,3.88651,3.93134,3.9718
5.4,4.20603,4.25301,4.2941,4.33606,4.37674

-0.2,0.13075,0.2615,0.523,1.046,2.092
2.2,2.63137,2.67629,2.71995,2.75782,2.79327
3,3.07383,3.11033,3.14661,3.18087,3.21359
3.8,3.47876,3.51516,3.54981,3.58094,3.61474
4.6,3.87001,3.90796,3.94433,3.97961,4.01121
5.4,4.25726,4.29546,4.33508,4.37054,4.40529

0,0.13075,0.2615,0.523,1.046,2.092
2.2,2.76294,2.786,2.80734,2.8292,2.85156
3,3.1373,3.16655,3.1922,3.21721,3.24234
3.8,3.51665,3.54711,3.57719,3.60497,3.63261
4.6,3.89487,3.93165,3.96265,3.99388,4.02362
5.4,4.27554,4.31261,4.34918,4.38182,4.41411

0.2,0.13075,0.2615,0.523,1.046,2.092
2.2,2.70706,2.73831,2.76896,2.79773,2.82368
3,3.10696,3.13533,3.16836,3.19804,3.22549
3.8,3.49442,3.52822,3.56023,3.59174,3.62226
4.6,3.88167,3.91665,3.95221,3.98432,4.01769
5.4,4.26484,4.30406,4.33994,4.3749,4.4074

0.4,0.13075,0.2615,0.523,1.046,2.092
2.2,2.57502,2.6269,2.67277,2.71804,2.75878
3,3.02067,3.06406,3.10603,3.14591,3.18336
3.8,3.4345,3.47833,3.51909,3.55756,3.59315
4.6,3.83765,3.87864,3.92016,3.95883,3.99458
5.4,4.2314,4.27614,4.31699,4.35586,4.39213

0.6,0.13075,0.2615,0.523,1.046,2.092
2.2,2.41974,2.48798,2.55193,2.61227,2.66859
3,2.90271,2.96273,3.01847,3.07217,3.12264
3.8,3.35154,3.40602,3.45576,3.5056,3.54988
4.6,3.77662,3.82849,3.87413,3.92095,3.96372
5.4,4.18535,4.23439,4.28158,4.32747,4.37015

0.8,0.13075,0.2615,0.523,1.046,2.092
2.2,2.30972,2.38023,2.44723,2.5134,2.57963
3,2.77115,2.84733,2.92047,2.98561,3.05077
3.8,3.25145,3.31583,3.3813,3.44143,3.49701
4.6,3.69694,3.75894,3.81831,3.87243,3.92324
5.4,4.12593,4.18233,4.23734,4.29045,4.33829

1,0.13075,0.2615,0.523,1.046,2.092
2.2,2.25149,2.31143,2.37195,2.43264,2.49725
3,2.65501,2.7383,2.82006,2.89841,2.97045
3.8,3.14234,3.21862,3.29557,3.36842,3.4356
4.6,3.61046,3.68168,3.75032,3.81677,3.87604
5.4,4.05298,4.12034,4.18522,4.24491,4.30142

2,0.13075,0.2615,0.523,1.046,2.092
2.2,2.04812,2.09402,2.14585,2.26938,2.36282
3,2.44988,2.50285,2.56831,2.65442,2.7272
3.8,2.78028,2.86038,2.9508,3.0439,3.13676
4.6,3.18406,3.28805,3.39084,3.49247,3.59184
5.4,3.65643,3.75819,3.85956,3.96186,4.05899
